date_mutation,valeur_fonciere,code_postal,nom_commune,surface_carrez,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude
2014-01-30,255300.0,44230,Saint-Sébastien-sur-Loire,,Maison,90.0,5,460.0,-1.5105469999999999,47.193834
2014-01-29,364000.0,44000,Nantes,,Maison,75.0,4,152.0,-1.563877,47.225845
2014-01-30,135000.0,44800,Saint-Herblain,55.49,Appartement,56.0,2,,-1.6399720000000002,47.213856
2014-01-30,230000.0,44100,Nantes,64.83,Appartement,65.0,3,,-1.571934,47.208381
2014-01-24,70000.0,44000,Nantes,18.79,Appartement,18.0,1,,-1.5473219999999999,47.213131
2014-01-31,398100.0,44000,Nantes,,Maison,87.0,5,259.0,-1.5526659999999999,47.233031
2014-01-23,311000.0,44100,Nantes,,Maison,99.0,4,271.0,-1.594263,47.213408
2014-01-31,155000.0,44800,Saint-Herblain,,Appartement,47.0,2,,-1.613154,47.229996
2014-01-24,163000.0,44230,Saint-Sébastien-sur-Loire,,Maison,68.0,4,476.0,-1.4886549999999998,47.200253000000004
2014-01-20,250000.0,44200,Nantes,,Maison,90.0,4,309.0,-1.522933,47.1909
2014-01-27,65000.0,44100,Nantes,,Appartement,17.0,1,,-1.594886,47.19999
2014-01-27,65000.0,44100,Nantes,19.91,Appartement,19.0,2,,-1.594886,47.19999
2014-02-06,120000.0,44100,Nantes,36.93,Appartement,51.0,2,,-1.589227,47.198993
2014-01-30,790000.0,44800,Saint-Herblain,,Maison,134.0,5,1191.0,-1.60903,47.225888
2014-01-23,80000.0,44200,Nantes,40.0,Appartement,38.0,3,,-1.533077,47.194322
2014-01-24,198000.0,44800,Saint-Herblain,80.45,Appartement,80.0,4,,-1.635006,47.216011
2014-01-24,125000.0,44230,Saint-Sébastien-sur-Loire,,Maison,52.0,3,,-1.485951,47.206728000000005
2014-02-04,218000.0,44800,Saint-Herblain,,Maison,99.0,5,427.0,-1.661189,47.213094
2014-01-28,150000.0,44200,Nantes,56.95,Appartement,60.0,2,,-1.531796,47.186934
2014-01-30,86400.0,44230,Saint-Sébastien-sur-Loire,,Maison,139.0,4,443.0,-1.518294,47.192689
2014-01-28,89194.0,44000,Nantes,43.86,Appartement,44.0,1,,-1.5328950000000001,47.222497
2014-02-03,63000.0,44000,Nantes,24.43,Appartement,24.0,2,,-1.556011,47.221937
2014-01-31,112800.0,44200,Nantes,49.47,Appartement,51.0,2,,-1.533083,47.18972
2014-01-29,58000.0,44000,Nantes,12.82,Appartement,16.0,1,,-1.5552700000000002,47.21954
2014-01-28,132600.0,44000,Nantes,53.16,Appartement,53.0,3,,-1.572553,47.220006
2014-01-31,400000.0,44300,Nantes,,Maison,110.0,4,484.0,-1.5663200000000002,47.239992
2014-01-17,95000.0,44000,Nantes,29.59,Appartement,30.0,2,,-1.556653,47.210929
2014-01-30,152000.0,44300,Nantes,,Appartement,68.0,3,,-1.532163,47.252618
2014-01-29,50000.0,44200,Nantes,19.22,Appartement,22.0,1,,-1.5487540000000002,47.202613
2014-01-29,50000.0,44200,Nantes,,Appartement,38.0,2,,-1.5487540000000002,47.202613
2014-01-29,50000.0,44200,Nantes,,Appartement,19.0,1,,-1.5487540000000002,47.202613
2014-01-31,260000.0,44200,Nantes,,Maison,78.0,6,71.0,-1.517395,47.187287
2014-01-30,112000.0,44200,Nantes,21.48,Appartement,24.0,1,,-1.535425,47.204015999999996
2014-01-30,112000.0,44200,Nantes,19.56,Appartement,22.0,1,,-1.535425,47.204015999999996
2014-01-27,91500.0,44000,Nantes,,Appartement,30.0,2,,-1.561652,47.221491
2014-01-29,70000.0,44200,Nantes,,Appartement,22.0,1,,-1.5487540000000002,47.202613
2014-01-29,70000.0,44200,Nantes,34.2,Appartement,38.0,2,,-1.5487540000000002,47.202613
2014-01-23,1450000.0,44000,Nantes,,Appartement,21.0,1,286.0,-1.531511,47.22126
2014-01-23,1450000.0,44000,Nantes,,Appartement,20.0,1,286.0,-1.531511,47.22126
2014-01-23,1450000.0,44000,Nantes,,Appartement,19.0,1,286.0,-1.531511,47.22126
2014-01-23,1450000.0,44000,Nantes,,Appartement,17.0,1,286.0,-1.531511,47.22126
2014-01-23,1450000.0,44000,Nantes,,Appartement,18.0,1,286.0,-1.531511,47.22126
2014-01-31,156000.0,44200,Nantes,,Appartement,63.0,3,,-1.533147,47.191138
2014-01-25,500000.0,44000,Nantes,,Maison,147.0,4,227.0,-1.565,47.225621999999994
2014-01-17,215000.0,44230,Saint-Sébastien-sur-Loire,,Maison,98.0,3,356.0,-1.512945,47.192954
2014-01-31,80000.0,44100,Nantes,23.53,Appartement,40.0,3,,-1.587716,47.211164000000004
2014-01-24,55000.0,44300,Nantes,38.85,Appartement,38.0,2,,-1.509603,47.244724
2014-01-08,225000.0,44300,Nantes,,Maison,60.0,3,206.0,-1.5777700000000001,47.256008
2014-01-08,225000.0,44300,Nantes,,Maison,30.0,1,206.0,-1.5777700000000001,47.256008
2014-01-08,225000.0,44300,Nantes,,Maison,50.0,2,206.0,-1.5777700000000001,47.256008
2014-02-05,423000.0,44300,Nantes,,Maison,162.0,8,644.0,-1.519115,47.233139
2014-02-12,225000.0,44230,Saint-Sébastien-sur-Loire,,Maison,68.0,5,302.0,-1.491126,47.195501
2014-01-30,266500.0,44000,Nantes,74.38,Appartement,65.0,3,,-1.5599299999999998,47.219683
2014-01-31,57500.0,44300,Nantes,16.76,Appartement,18.0,1,,-1.517677,47.283797
2014-01-31,169174.76,44300,Nantes,,Maison,127.0,5,368.0,-1.516192,47.234852000000004
2014-02-07,420000.0,44300,Nantes,,Maison,189.0,7,451.0,-1.575971,47.234477000000005
2014-02-03,308000.0,44000,Nantes,96.27,Appartement,90.0,3,,-1.542931,47.217977000000005
2014-01-15,120000.0,44100,Nantes,58.91,Appartement,19.0,1,,-1.577827,47.203059
2014-01-15,120000.0,44100,Nantes,58.91,Appartement,52.0,3,,-1.577827,47.203059
2014-01-31,86500.0,44000,Nantes,29.5,Appartement,29.0,1,,-1.548398,47.221301000000004
2014-01-24,210000.0,44100,Nantes,79.14,Appartement,80.0,4,,-1.579672,47.210266
2014-02-11,50000.0,44000,Nantes,17.31,Appartement,20.0,1,,-1.5469870000000001,47.210003
2014-01-31,95000.0,44100,Nantes,35.61,Appartement,38.0,1,,-1.583238,47.217503
2014-02-07,161000.0,44800,Saint-Herblain,97.0,Appartement,62.0,3,,-1.644254,47.207462
2014-01-31,490000.0,44300,Nantes,,Maison,153.0,4,448.0,-1.539428,47.238368
2014-02-07,740000.0,44000,Nantes,,Maison,180.0,8,519.0,-1.565911,47.230534999999996
2014-02-07,338500.0,44100,Nantes,104.78,Maison,104.0,4,,-1.5967870000000002,47.202564
2014-01-29,320000.0,44230,Saint-Sébastien-sur-Loire,,Maison,80.0,4,373.0,-1.5220280000000002,47.191851
2014-01-29,320000.0,44230,Saint-Sébastien-sur-Loire,,Maison,80.0,4,491.0,-1.5220280000000002,47.191851
2014-01-31,78000.0,44200,Nantes,28.43,Appartement,28.0,1,,-1.538201,47.20366
2014-01-15,108000.0,44300,Nantes,38.6,Appartement,40.0,2,,-1.531859,47.23805
2014-01-25,215000.0,44000,Nantes,,Appartement,26.0,1,,-1.552649,47.226939
2014-01-25,215000.0,44000,Nantes,50.4,Appartement,64.0,3,,-1.552649,47.226939
2014-01-31,128000.0,44230,Saint-Sébastien-sur-Loire,66.79,Appartement,69.0,3,,-1.5227540000000002,47.194321
2014-02-06,611000.0,44300,Nantes,,Maison,144.0,9,523.0,-1.521457,47.224582
2014-02-11,175195.0,44300,Nantes,,Maison,50.0,4,438.0,-1.5249270000000001,47.244508
2014-02-03,120000.0,44300,Nantes,,Appartement,65.0,3,,-1.4991729999999999,47.236398
2014-02-06,520000.0,44100,Nantes,,Maison,120.0,5,256.0,-1.584799,47.225986999999996
2014-02-13,155000.0,44230,Saint-Sébastien-sur-Loire,66.26,Maison,67.0,4,,-1.485951,47.206728000000005
2014-02-10,298000.0,44000,Nantes,,Maison,69.0,3,110.0,-1.5255940000000001,47.226492
2014-02-03,253700.0,44300,Nantes,,Maison,102.0,6,358.0,-1.579076,47.259423999999996
2014-02-12,135000.0,44000,Nantes,85.68,Appartement,193.0,0,,-1.571992,47.225699
2014-02-14,390000.0,44000,Nantes,,Maison,93.0,4,250.0,-1.559531,47.221628
2014-01-27,372000.0,44100,Nantes,,Maison,180.0,5,415.0,-1.60259,47.216446999999995
2014-02-11,104500.0,44300,Nantes,48.6,Appartement,48.0,2,,-1.543733,47.238039
2014-02-10,228000.0,44300,Nantes,82.55,Maison,83.0,4,,-1.506402,47.239123
2014-02-12,95000.0,44300,Nantes,32.79,Appartement,33.0,2,,-1.552933,47.248074
2014-02-12,600000.0,44100,Nantes,,Appartement,155.0,5,,-1.574742,47.212117
2014-02-11,200000.0,44300,Nantes,,Maison,82.0,4,141.0,-1.5663200000000002,47.238425
2014-01-23,625000.0,44300,Nantes,,Maison,160.0,6,460.0,-1.565531,47.233934999999995
2014-01-29,148000.0,44100,Nantes,48.15,Appartement,47.0,2,,-1.57175,47.207978999999995
2014-02-07,260000.0,44800,Saint-Herblain,,Maison,91.0,5,422.0,-1.610211,47.239016
2014-01-31,112000.0,44200,Nantes,21.06,Appartement,24.0,1,,-1.535425,47.204015999999996
2014-01-31,112000.0,44200,Nantes,21.41,Appartement,24.0,1,,-1.535425,47.204015999999996
2014-01-30,120000.0,44000,Nantes,45.28,Appartement,50.0,2,,-1.55538,47.217184
2014-02-10,115000.0,44000,Nantes,,Appartement,35.0,2,,-1.557672,47.216506
2014-01-30,263000.0,44300,Nantes,,Maison,51.0,3,91.0,-1.568646,47.2331
2014-02-05,44000.0,44200,Nantes,,Appartement,45.0,3,,-1.547245,47.201144
2014-01-31,199000.0,44100,Nantes,,Appartement,91.0,4,,-1.5827280000000001,47.21949
2014-02-12,53000.0,44100,Nantes,18.85,Appartement,14.0,1,,-1.582149,47.21771
2014-01-21,105000.0,44610,Indre,,Maison,64.0,3,124.0,-1.674728,47.200553
2014-02-06,65000.0,44100,Nantes,31.0,Appartement,30.0,1,,-1.578446,47.210228
2014-02-06,65000.0,44100,Nantes,,Appartement,30.0,1,,-1.578446,47.210228
2014-02-18,66000.0,44100,Nantes,22.48,Appartement,19.0,1,,-1.5663129999999998,47.210176000000004
2014-02-19,130000.0,44000,Nantes,53.33,Appartement,52.0,2,,-1.543506,47.211246
2014-02-14,300000.0,44200,Nantes,,Maison,95.0,4,351.0,-1.52678,47.187038
2014-02-18,190000.0,44300,Nantes,77.85,Appartement,78.0,4,,-1.5439450000000001,47.237455
2014-02-13,65000.0,44100,Nantes,65.8,Appartement,66.0,3,,-1.608688,47.20899
2014-01-28,80000.0,44000,Nantes,32.23,Appartement,30.0,1,,-1.5756459999999999,47.220889
2014-01-22,85000.0,44000,Nantes,39.69,Appartement,52.0,2,,-1.539798,47.219962
2014-01-31,179000.0,44610,Indre,67.05,Appartement,67.0,3,,-1.670594,47.199616999999996
2014-02-14,51700.0,44100,Nantes,18.87,Appartement,18.0,1,,-1.5796860000000001,47.206635
2014-02-18,490000.0,44000,Nantes,,Appartement,150.0,5,,-1.550917,47.218752
2014-02-05,210000.0,44100,Nantes,,Maison,50.0,2,312.0,-1.601426,47.215193
2014-01-31,218000.0,44000,Nantes,,Appartement,89.0,4,,-1.550563,47.211144
2014-01-27,53000.0,44000,Nantes,,Appartement,16.0,1,,-1.5480209999999999,47.209471
2014-02-08,108000.0,44300,Nantes,,Appartement,45.0,2,,-1.54477,47.235304
2014-01-31,238500.0,44000,Nantes,,Maison,65.0,2,,-1.54656,47.217898999999996
2014-01-31,590000.0,44100,Nantes,,Maison,167.0,5,266.0,-1.588401,47.202236
2014-01-31,455000.0,44300,Nantes,,Maison,110.0,6,221.0,-1.57124,47.23449
2014-02-19,132000.0,44300,Nantes,47.71,Appartement,44.0,3,,-1.5702530000000001,47.233961
2014-02-14,152000.0,44610,Indre,,Maison,45.0,1,54.0,-1.675238,47.200027
2014-01-31,218000.0,44000,Nantes,,Appartement,303.0,0,,-1.5459200000000002,47.217288
2014-02-13,128050.0,44300,Nantes,52.46,Appartement,52.0,2,,-1.584091,47.238685
2014-02-07,100790.0,44300,Nantes,,Maison,64.0,4,343.0,-1.570936,47.255107
2014-02-14,100000.0,44300,Nantes,,Maison,50.0,3,244.0,-1.52623,47.23769
2014-01-28,212000.0,44000,Nantes,58.14,Appartement,60.0,3,,-1.5549309999999998,47.223836
2014-02-08,105000.0,44800,Saint-Herblain,,Appartement,44.0,2,,-1.6368049999999998,47.221387
2014-02-06,200000.0,44230,Saint-Sébastien-sur-Loire,,Maison,80.0,3,458.0,-1.5036530000000001,47.204668
2014-02-13,154507.58,44300,Nantes,64.64,Appartement,64.0,3,,-1.514441,47.26142
2014-02-24,140000.0,44000,Nantes,,Appartement,61.0,4,,-1.564266,47.221446
2014-02-04,126000.0,44000,Nantes,31.62,Appartement,20.0,1,,-1.552075,47.218879
2014-02-05,168500.0,44300,Nantes,82.63,Appartement,80.0,4,,-1.535091,47.234445
